factual_id,name,address,city,state,postal_code,country,neighborhood,tel,website,latitude,longitude,category,chain_name,op_hours,select
1974c543-d608-40da-a5b0-9b818858cad1,tan tock seng,11 Jln Tan Tock Seng,Singapore,,308433,sg,,6256 6011,http://www.ttsh.com.sg,1.321538,103.846066,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
eb85596e-f4c5-4137-8116-303c233a4033,changi general hospital,2 Simei Street 3,Singapore,,529889,sg,,6788-8833,http://www.cgh.com.sg,1.340711,103.94935,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
46462e08-b1e0-41c2-8339-b6918d0c2c6d,mount elizabeth hospital,3 Mount Elizabeth,Singapore,,228510,sg,,6250-0000,http://mountelizabeth.com.sg,1.305436,103.83555,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
1efb7ab8-340e-47da-b3a5-3ab23d65f74b,east shore hospital,321 Joo Chiat Pl,Singapore,,427990,sg,,6344 7588,http://www.eastshore.com.sg,1.315095,103.908989,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
8f676081-3c70-469a-943d-c0c5c85896b3,jurong medical centre,60 Jurong West Central 3,Singapore,,648346,sg,,6551 7888,http://www.jurongmedicalcentre.com.sg,1.340519,103.704518,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
cdd0adde-52b8-424a-901a-8e3df4002318,kk women's and children's hospital,100 Bukit Timah Rd,Singapore,,229899,sg,,6225 5554,http://www.learningvision.com,1.31056,103.846871,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
f751558e-eb60-4f17-8d10-f875a6f19b0a,ren ci hospital,71 Irrawaddy Rd,Singapore,,329562,sg,,6385 0288,http://www.renci.org.sg,1.322936,103.845941,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
9383b222-dd81-44fb-a32d-9215451c0284,khoo teck puat,90 Yishun Central,Singapore,,768828,sg,,6555-8000,http://www.ktph.com.sg,1.424034,103.8384,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
a8e024e3-8219-4c00-a08b-e40c2ce90aae,national university hospital,5 Lower Kent Ridge Rd,Singapore,,119074,sg,,6779-5555,http://www.nuh.com.sg,1.294373,103.7834,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
a21bb4d0-a0ff-4274-8109-54aff28636cf,gleneagles hospital,6A Napier Rd,Singapore,,258500,sg,,6473-7222,http://gleneagles.com.sg,1.30763,103.82016,"Healthcare,Hospitals, Clinics and Medical Centers",,,1
